order_id,pizza_id,quantity,date,time
1,hawaiian_m,1,1/1/2015,11:38:36
2,classic_dlx_m,1,1/1/2015,11:57:40
2,five_cheese_l,1,1/1/2015,12:12:28
2,ital_supr_l,1,1/1/2015,12:16:31
2,mexicana_m,1,1/1/2015,12:21:30
2,thai_ckn_l,1,1/1/2015,12:29:36
3,ital_supr_m,1,1/1/2015,12:50:37
3,prsc_argla_l,1,1/1/2015,12:51:37
4,ital_supr_m,1,1/1/2015,12:52:01
5,ital_supr_m,1,1/1/2015,13:00:15
6,bbq_ckn_s,1,1/1/2015,13:02:59
6,the_greek_s,1,1/1/2015,13:04:41
7,spinach_supr_s,1,1/1/2015,13:11:55
8,spinach_supr_s,1,1/1/2015,13:14:19
9,classic_dlx_s,1,1/1/2015,13:33:00
9,green_garden_s,1,1/1/2015,13:34:07
9,ital_cpcllo_l,1,1/1/2015,13:53:00
9,ital_supr_l,1,1/1/2015,13:57:08
9,ital_supr_s,1,1/1/2015,13:59:09
9,mexicana_s,1,1/1/2015,14:03:08
9,spicy_ital_l,1,1/1/2015,14:14:29
9,spin_pesto_l,1,1/1/2015,14:16:26
9,veggie_veg_s,1,1/1/2015,14:19:03
10,mexicana_l,1,1/1/2015,14:23:01
10,southw_ckn_l,1,1/1/2015,14:44:44
11,bbq_ckn_l,1,1/1/2015,14:54:26
11,cali_ckn_l,1,1/1/2015,15:11:17
11,cali_ckn_m,1,1/1/2015,15:35:46
11,pepperoni_l,1,1/1/2015,15:41:01
12,cali_ckn_l,1,1/1/2015,15:41:25
12,cali_ckn_s,1,1/1/2015,15:50:18
12,ckn_pesto_l,1,1/1/2015,15:53:18
12,ital_supr_m,1,1/1/2015,15:54:08
13,mexicana_l,1,1/1/2015,16:21:21
14,the_greek_s,1,1/1/2015,16:32:04
15,big_meat_s,1,1/1/2015,16:54:09
15,five_cheese_l,1,1/1/2015,16:56:09
15,soppressata_l,1,1/1/2015,17:03:00
15,the_greek_s,1,1/1/2015,17:07:23
16,four_cheese_l,1,1/1/2015,17:14:36
16,napolitana_s,1,1/1/2015,17:15:20
16,thai_ckn_l,1,1/1/2015,17:28:09
17,bbq_ckn_l,1,1/1/2015,17:38:34
17,calabrese_m,1,1/1/2015,17:54:20
17,five_cheese_l,1,1/1/2015,17:55:48
17,four_cheese_m,1,1/1/2015,18:25:51
17,ital_supr_m,1,1/1/2015,18:26:34
17,ital_veggie_s,1,1/1/2015,18:26:42
17,mediterraneo_m,2,1/1/2015,18:33:00
17,mexicana_l,1,1/1/2015,18:41:01
17,peppr_salami_s,1,1/1/2015,18:48:28
17,spinach_fet_l,1,1/1/2015,18:53:02
18,napolitana_l,1,1/1/2015,18:54:17
19,ital_cpcllo_l,1,1/1/2015,19:01:45
19,sicilian_l,1,1/1/2015,19:03:19
20,big_meat_s,1,1/1/2015,19:07:00
20,five_cheese_l,1,1/1/2015,19:10:51
21,ital_cpcllo_l,1,1/1/2015,19:30:40
22,five_cheese_l,1,1/1/2015,19:40:08
22,ital_cpcllo_m,1,1/1/2015,20:05:16
22,southw_ckn_l,1,1/1/2015,20:08:43
23,southw_ckn_s,1,1/1/2015,20:50:16
24,bbq_ckn_m,1,1/1/2015,20:51:42
24,ital_cpcllo_m,1,1/1/2015,20:52:08
24,pepperoni_m,1,1/1/2015,21:16:00
24,prsc_argla_s,1,1/1/2015,21:47:55
25,sicilian_m,1,1/1/2015,22:03:40
25,thai_ckn_l,1,1/1/2015,22:07:32
26,classic_dlx_s,1,1/1/2015,22:12:13
26,veggie_veg_l,1,1/2/2015,11:38:51
27,bbq_ckn_l,1,1/2/2015,11:40:50
27,classic_dlx_m,1,1/2/2015,11:57:25
27,spinach_fet_l,1,1/2/2015,11:58:56
28,ckn_alfredo_s,1,1/2/2015,12:01:12
29,green_garden_s,1,1/2/2015,12:10:15
30,thai_ckn_l,1,1/2/2015,12:21:17
31,mexicana_m,1,1/2/2015,12:22:46
31,pepperoni_s,1,1/2/2015,12:28:14
32,big_meat_s,1,1/2/2015,12:29:11
32,green_garden_l,1,1/2/2015,12:35:38
32,ital_cpcllo_l,1,1/2/2015,12:40:01
32,ital_supr_m,1,1/2/2015,12:45:51
33,bbq_ckn_l,1,1/2/2015,12:53:27
33,green_garden_s,1,1/2/2015,13:13:41
34,the_greek_s,1,1/2/2015,13:34:49
35,green_garden_m,1,1/2/2015,13:40:31
35,pep_msh_pep_l,1,1/2/2015,14:01:02
35,pepperoni_m,1,1/2/2015,14:10:08
35,thai_ckn_l,1,1/2/2015,14:30:19
36,bbq_ckn_m,1,1/2/2015,15:08:48
36,classic_dlx_m,1,1/2/2015,15:14:43
37,ital_supr_l,1,1/2/2015,15:17:02
